;Unnamed: 0.1;contract;district;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
79;79;Affitto, 4+4;centro;114;4;1;Intera proprietà;650;200.0;0.0;1970.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/81814636/
80;80;Affitto;centro;50;2;2;Intera proprietà;650;100.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/81754040/
82;82;Affitto, 4+4;centro;100;3;1;Intera proprietà;700;0.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/80980867/
83;83;Affitto, Libero;centro;60;3;2;Intera proprietà;700;0.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/80968583/
84;84;Affitto;centro;45;2;Piano;0;550;20.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/80801415/
85;85;Affitto;centro;30;1;Piano;Intera proprietà;300;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/80684169/
86;86;Affitto;centro;70;3;2;Classe immobile signorile;700;60.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/80684489/
87;87;Affitto;centro;30;1;1;Intera proprietà;320;10.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/80674727/
88;88;Affitto;centro;95;3;2;Intera proprietà;850;117.0;0.0;2000.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/80648885/
90;90;Affitto, Concordato;centro;91;3;Piano;Intera proprietà;530;100.0;0.0;1964.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/80089555/
91;91;Affitto, Libero;centro;45;2;1;Classe immobile media;400;30.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/79437657/
93;93;Affitto;centro;108;5;3;Intera proprietà;990;125.0;0.0;1980.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/78403727/
94;94;Affitto;centro;25;1;4;Intera proprietà;300;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/78393989/
96;96;Affitto, 3+2;centro;70;3;2;Intera proprietà;500;160.0;0.0;1960.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/74113180/
97;97;Affitto, Concordato;centro;66;2;Piano;Intera proprietà;470;60.0;0.0;1980.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/72535614/
98;98;Affitto, 3+2;centro;12;1;3;Classe immobile media;350;0.0;0.0;1968.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/65031848/
99;99;Affitto, 3+2;centro;60;3;3;Classe immobile media;450;100.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/61835720/
100;100;Affitto;centro;35;1;2;Classe immobile media;390;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/60313180/
101;101;Affitto, 4+4;centro;80;3;1;Intera proprietà;550;50.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/38322249/
102;102;Affitto, 3+2;periferia-est;62;2;da;Intera proprietà;450;60.0;0.0;2005.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84207748/
103;103;Affitto;periferia-est;101;4;0;Intera proprietà;600;0.0;0.0;1980.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83769653/
104;104;Affitto, 4+4;periferia-est;55;2;3;Intera proprietà;450;30.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83357211/
105;105;Affitto;periferia-nord;96;4;2;Intera proprietà;580;50.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83809914/
106;106;Affitto;periferia-nord;26;2;0;Intera proprietà;349;0.0;0.0;1960.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83366823/
107;107;Affitto;periferia-nord;200;4;Piano;Classe immobile media;700;0.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/83054873/
108;108;Affitto;periferia-nord;36;1;2;Intera proprietà;380;50.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82840825/
109;109;Affitto;periferia-nord;80;3;2;Intera proprietà;600;50.0;0.0;0.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82539968/
110;110;Affitto, 4+4;periferia-nord;35;1;2;Classe immobile media;380;50.0;0.0;1996.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/78480065/
111;111;Affitto, 3+2;periferia-ovest;60;2;1;Intera proprietà;465;25.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84162348/
112;112;Affitto, Concordato;periferia-ovest;56;2;da;Intera proprietà;385;70.0;0.0;2000.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84112106/
113;113;Affitto, 4+4;periferia-ovest;90;4;3;Intera proprietà;750;0.0;0.0;2001.0;buono/abitabile;0.0;predisposizione impianto;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84030400/
114;114;Affitto, 4+4;periferia-ovest;95;5;0;Intera proprietà;750;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83590095/
115;115;Affitto, 3+2;periferia-ovest;100;4;2;Intera proprietà;700;75.0;0.0;2006.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83465217/
116;116;Affitto, Libero;periferia-ovest;50;2;1;Intera proprietà;450;0.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/83376119/
117;117;Affitto, 4+4;periferia-ovest;110;4;1;Intera proprietà;600;50.0;0.0;1970.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83341545/
118;118;Affitto, 4+4;periferia-ovest;95;4;2;Intera proprietà;550;0.0;0.0;1970.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82996003/
119;119;Affitto;periferia-ovest;120;5;Piano;Intera proprietà;850;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83006701/
120;120;Affitto, Concordato;periferia-ovest;100;4;2;Classe immobile signorile;700;60.0;0.0;2008.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/82919471/
122;122;Affitto, 4+4;periferia-ovest;94;3;da;Intera proprietà;520;150.0;0.0;1960.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/81699468/
123;123;Affitto, 4+4;periferia-ovest;98;3;2;Intera proprietà;700;85.0;0.0;1995.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/75898200/
125;125;Affitto, 3+2;periferia-ovest;47;2;1;Intera proprietà;480;0.0;0.0;2004.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/63764186/
126;126;Affitto;periferia-sud;40;1;Piano;Intera proprietà;340;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84203598/
127;127;Affitto;periferia-sud;200;5;Piano;0;950;0.0;0.0;1980.0;0;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/84077110/
128;128;Affitto, 4+4;periferia-sud;55;2;3;Intera proprietà;500;80.0;0.0;0.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/83972580/
129;129;Affitto;periferia-sud;90;3;1;0;850;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83835220/
131;131;Affitto, 3+2;periferia-sud;90;4;2;Intera proprietà;450;150.0;0.0;1965.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/83583695/
132;132;Affitto;periferia-sud;100;3;2;Intera proprietà;750;150.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/75256404/
133;133;Affitto;periferia-sud;90;3;1;0;850;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/82672391/
134;134;Affitto;periferia-sud;108;5;3;Intera proprietà;990;125.0;0.0;1980.0;buono/abitabile;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/78403727/
135;135;Affitto, Transitorio;periferia-sud;190;5;Piano;Intera proprietà;700;0.0;0.0;1970.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/77506516/
