;contratto;zona;tipologia;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
645;Affitto;san-donato;Parziale proprietà, classe immobile media;60;2;Piano;Intera proprietà;600;125;;;ottimo/ristrutturato;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/79483953/
646;Affitto;san-donato;Parziale proprietà, classe immobile media;73;3;1°,;Intera proprietà;600;80;;1960.0;buono/abitabile;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/79486513/
647;Affitto;san-donato;Parziale proprietà, classe immobile media;45;1;Ultimo;Intera proprietà;470;30;;;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/79486347/
648;Affitto;san-donato;Parziale proprietà, classe immobile media;65;3;1°;Intera proprietà;550;100;;1938.0;buono/abitabile;;;;;;None;F ;https://www.immobiliare.it/annunci/79429945/
649;Affitto;san-donato;Parziale proprietà, classe immobile media;150;5;2°;;895;;;;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/79262903/
650;Affitto;san-donato;Parziale proprietà, classe immobile media;30;1;Piano;Intera proprietà;350;30;;;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/79238611/
651;Affitto;san-donato;Parziale proprietà, classe immobile media;45;2;Ultimo;Intera proprietà;450;50;;1900.0;buono/abitabile;;;;;;None;;https://www.immobiliare.it/annunci/79171869/
652;Affitto;san-donato;Parziale proprietà, classe immobile media;83;3;5°;Intera proprietà;920;80;;1958.0;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/79164481/
653;Affitto;san-donato;Parziale proprietà, classe immobile media;80;3;1°;Intera proprietà;600;60;;1950.0;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/79050069/
654;Affitto;san-donato;Parziale proprietà, classe immobile media;100 | commerciale 126;3;5°,;Intera proprietà;1400;180.430;;1940.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;;https://www.immobiliare.it/annunci/79034767/
655;Affitto;san-donato;Parziale proprietà, classe immobile media;50;2;4°;Intera proprietà;400;50;;1900.0;ottimo/ristrutturato;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/78976911/
656;Affitto;san-donato;Parziale proprietà, classe immobile media;50;2;4°;Intera proprietà;400;50;;1900.0;buono/abitabile;centralizzato;;;;;None;F ;https://www.immobiliare.it/annunci/78825803/
657;Affitto;san-donato;Parziale proprietà, classe immobile media;75;3;2°;Intera proprietà;720;65;;1880.0;ottimo/ristrutturato;autonomo;;;;;None;;https://www.immobiliare.it/annunci/78532293/
658;Affitto;san-donato;Parziale proprietà, classe immobile media;130;2;Seminterrato,;Intera proprietà;Prezzo su richiesta;140;;1900.0;ottimo/ristrutturato;autonomo;;;;;autonomo;G ;https://www.immobiliare.it/annunci/78241159/
659;Affitto;san-donato;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;700;50;;2008.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;C ;https://www.immobiliare.it/annunci/78229632/
660;Affitto;san-donato;Parziale proprietà, classe immobile media;66;2;2°;Intera proprietà;950;60;;2008.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;C ;https://www.immobiliare.it/annunci/78230177/
661;Affitto;san-donato;Parziale proprietà, classe immobile media;90;3;Su;Intera proprietà;1100;200;;1900.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;E ;https://www.immobiliare.it/annunci/77395638/
662;Affitto;san-donato;Parziale proprietà, classe immobile media;130;4;7°;Intera proprietà;980;100;;1960.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;E ;https://www.immobiliare.it/annunci/76574028/
663;Affitto;san-donato;Parziale proprietà, classe immobile media;60;2;2°;Intera proprietà;1000;130;;1947.0;ottimo/ristrutturato;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/76072836/
664;Affitto;san-donato;Parziale proprietà, classe immobile media;25;1;Ultimo;Intera proprietà;320;30;;1900.0;ottimo/ristrutturato;autonomo;;;;;None;G ;https://www.immobiliare.it/annunci/75923904/
665;Affitto;san-donato;Parziale proprietà, classe immobile media;80;3;4°;Intera proprietà;750;110;;;buono/abitabile;centralizzato;;;;;None;;https://www.immobiliare.it/annunci/75767698/
666;Affitto;san-donato;Parziale proprietà, classe immobile media;40;1;Piano;Intera proprietà;500;;;1960.0;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/74173212/
667;Affitto;san-donato;Parziale proprietà, classe immobile media;50;2;3°;Classe immobile signorile;600;;;1950.0;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/73509494/
668;Affitto;san-donato;Parziale proprietà, classe immobile media;110;4;Ultimo;Intera proprietà;900;100;;1960.0;ottimo/ristrutturato;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/73253902/
