;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica;Arredato S/N;Link annuncio;Price
2404;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;50;2;Piano;Intera proprietà;600;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79485783/;600
2405;               Affitto, transitorio            ;vanchiglia;Parziale proprietà, classe immobile media;55;2;Piano;Intera proprietà;600;0.0;0.0;1930.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79468327/;600
2406;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;80;2;Ultimo;0;900;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               F              ;Non arredato;https://www.immobiliare.it/annunci/79464379/;900
2408;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;100;3;3°;Intera proprietà;830;0.0;0.0;1900.0;nuovo/incostruzione;centralizzato;None;               C              ;Parzialmente arredato;https://www.immobiliare.it/annunci/79448837/;830
2409;               Affitto            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;1°;Intera proprietà;390;25.0;0.0;0.0;0;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/79447413/;390
2410;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;50;2;Piano;Intera proprietà;580;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79439545/;580
2411;               Affitto, concordato            ;vanchiglia;Parziale proprietà, classe immobile media;78;3;Con;Intera proprietà;570;0.0;0.0;0.0;buono/abitabile;autonomo;None;               G              ;Arredato;https://www.immobiliare.it/annunci/79439975/;570
2412;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;400;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79436889/;400
2413;               Affitto, libero            ;vanchiglia;Parziale proprietà, classe immobile media;40;1;1°;Intera proprietà;750;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79396511/;750
2414;               Affitto, studenti (6-36 mesi)            ;vanchiglia;Parziale proprietà, classe immobile media;70;3;1°;Intera proprietà;550;0.0;0.0;0.0;buono/abitabile;0;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79396353/;550
