;riferimento e data annuncio;contratto;tipologia;superficie;locali;piano;totale piani edificio;disponibilità;tipo proprietà;altre caratteristiche;prezzo;spese condominio;informazioni catastali;anno di costruzione;stato;riscaldamento;classe energetica;immobile garantito;climatizzazione;spese aggiuntive;certificazione energetica;prestazione energetica del fabbricato;posti auto;indice prest. energetica rinnovabile;zona;links
0;EK-80589841 - 28/05/2020;Affitto;Appartamento;60 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;Piano rialzato, con ascensore;8 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 550/mese;€ 50/mese;Classe A/3, rendita € 368;1960;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a gas;E ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80589841/
0;EK-80589153 - 27/05/2020;Affitto;Appartamento;50 m²;3 (2 camere da letto, 1 altro), 1 bagno, cucina abitabile;Piano terra;4 piani;Libero;Intera proprietà, classe immobile media;Porta blindata;€ 550/mese;€ 50/mese;Classe A/3, rendita € 271;1930;Buono / Abitabile;Autonomo, a radiatori, alimentato a gas;D ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;Autonomo;;;;;;aurora;https://www.immobiliare.it/annunci/80589153/
0;EK-80583423 - 27/05/2020;Affitto;Appartamento;24 m²;1 locale, 1 bagno, cucina angolo cottura;Piano rialzato, con ascensore;5 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 330/mese;€ 30/mese;Classe A/3, rendita € 271;1930;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a gas;E ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80583423/
0;EK-80590189 - 27/05/2020;Affitto;Appartamento;30 m²;1 locale, 1 bagno, cucina angolo cottura;5° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile media;Mansarda;€ 390/mese;;Classe A/5, rendita € 72;1906;Buono / Abitabile;Autonomo, ad aria, alimentato a pompa di calore;E ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;Autonomo, freddo/caldo;;;;;;aurora;https://www.immobiliare.it/annunci/80590189/
0;Affitto casa zou - 27/05/2020;Affitto;Appartamento;90 m²;4 (3 camere da letto, 1 altro), 2 bagni, cucina abitabile;1° stabile, con ascensore;3 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 1.050/mese;;Classe A/3, rendita € 432;1920;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a gas;E 123,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80578207/
0;121 - 05/06/2020;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;2° stabile;4 piani;Libero;Intera proprietà, classe immobile media;Cancello elettrico;€ 500/mese;€ 35/mese;;1965;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;D ≥ 175 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80580521/
0;EK-80564991 - 28/05/2020;Affitto;Appartamento;120 m²;4 (3 camere da letto, 1 altro), 2 bagni, cucina abitabile;3° stabile;4 piani;Libero;Parziale proprietà, classe immobile media;Balcone;€ 234/mese;€ 90/mese;Classe A/3;1920;Buono / Abitabile;Centralizzato, a radiatori, alimentato a gas;D ≥ 175 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80564991/
0;EK-80560099 - 03/06/2020;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile;5 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 300/mese;€ 60/mese;Classe A/3, rendita € 380;1950;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;D ≥ 175 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80560099/
0;2763 - 25/05/2020;Affitto;Appartamento;90 m²;3 (1 camera da letto, 2 altri), 1 bagno, cucina abitabile;1° stabile;5 piani;;;Porta blindata;€ 850/mese;;;1995;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;B ;;;;;;;;aurora;https://www.immobiliare.it/annunci/80548801/
0;EK-80530339 - 04/06/2020;Affitto;Appartamento;40 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile;5 piani;Libero;Classe immobile media;Porta blindata;€ 450/mese;€ 25/mese;Classe A/3, rendita € 380;1940;Buono / Abitabile;Centralizzato, a radiatori, alimentato a gas;F ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80530339/
0;piossasco30 - 08/06/2020;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;;5 piani;Libero;Intera proprietà, classe immobile signorile;Esposizione esterna;€ 450/mese;€ 60/mese;Classe A/3;1960;Buono / Abitabile;Centralizzato, a radiatori, alimentato a gas;F ≥ 175 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80541597/
0;affpisa1 - 26/05/2020;Affitto;Appartamento;65 m²;3 (1 camera da letto, 2 altri), 1 bagno, cucina abitabile;2° stabile;5 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 432/mese;€ 80/mese;Classe A/3, rendita € 434;1940;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a gas;F 266,15 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80535861/
0;EK-80531017 - 25/05/2020;Affitto;Appartamento;30 m²;1 locale, 1 bagno, cucina angolo cottura;5° stabile;5 piani;Libero;Intera proprietà, classe immobile media;Mansarda;€ 320/mese;€ 30/mese;Classe A/3, rendita € 72;1906;Buono / Abitabile;Autonomo, ad aria, alimentato a pompa di calore;E ≥ 3,51 kWh/m²anno;Dati certificabili, documentazione completa;Autonomo, freddo/caldo;;;;;;aurora;https://www.immobiliare.it/annunci/80531017/
0;EK-80535629 - 25/05/2020;Affitto;Appartamento;70 m²;3 (2 camere da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile signorile;Balcone;€ 650/mese;€ 30/mese;Classe A/3, rendita € 433;1900;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;G 412,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80535629/
0;Premiercase;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;2° stabile;5 piani;;Intera proprietà;Fibra ottica;€ 400/mese;€ 50/mese;Classe A/3;;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a metano;G 212,32 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80543463/
0;EK-80535011 - 28/05/2020;Affitto;Appartamento;120 m²;4 (3 camere da letto, 1 altro), 2 bagni, cucina abitabile;3° stabile;4 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 234/mese;€ 100/mese;Classe A/3;1920;Buono / Abitabile;Centralizzato, a radiatori, alimentato a gas;D ≥ 175 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80535011/
0;EK-80540559 - 03/06/2020;Affitto;Appartamento;45 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;4° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile media;Mansarda;€ 300/mese;€ 90/mese;Classe A/3, rendita € 380;1940;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;G 345,25 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80540559/
0;EK-80534689 - 25/05/2020;Affitto;Appartamento;60 m²;1 camera da letto, 1 bagno, cucina abitabile;1° stabile, con ascensore;5 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 550/mese;€ 65/mese;;1920;Ottimo / Ristrutturato;Autonomo, a radiatori;C 92,36 kWh/m²anno;;Autonomo;;;;;;aurora;https://www.immobiliare.it/annunci/80534689/
0;EK-80501128 - 05/06/2020;Affitto;Appartamento;70 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;4° stabile, con ascensore;;Libero;Intera proprietà;Arredato;€ 500/mese;€ 50/mese;;;Buono / Abitabile;Centralizzato;A4 ;;;€ 100/mese;;;;;aurora;https://www.immobiliare.it/annunci/80501128/
0;EK-80535097 - 25/05/2020;Affitto;Appartamento;15 m²;4 (3 camere da letto, 1 altro), cucina abitabile;2° stabile;3 piani;;Parziale proprietà;Arredato;€ 300/mese;;;;Ottimo / Ristrutturato;;;;;;In attesa di certificazione;;;;aurora;https://www.immobiliare.it/annunci/80535097/
0;EK-80513879 - 25/05/2020;Affitto;Appartamento;46 m²;1 camera da letto, 1 bagno, cucina angolo cottura;1° stabile, con ascensore;7 piani;Libero;Intera proprietà, classe immobile signorile;Porta blindata;€ 500/mese;€ 30/mese;Classe A/3, rendita € 442;;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a metano;F 248,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80513879/
