;contratto;zona;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
1547;Affitto;centro;70;3.0;1°;Intera proprietà;1200;108.0;0.0;2017.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;A1;https://www.immobiliare.it/annunci/72942448/
1548;Affitto;centro;53 | commerciale 55;2.0;da;Intera proprietà;1050;0.0;0.0;1800.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A ;https://www.immobiliare.it/annunci/72934868/
1549;Affitto;centro;61;2.0;1°,;Intera proprietà;1500;100.0;0.0;1930.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;autonomo;E ;https://www.immobiliare.it/annunci/72886606/
1550;Affitto;centro;80;3.0;0;Intera proprietà;1000;100.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;None;F ;https://www.immobiliare.it/annunci/72802578/
1551;Affitto;centro;120;4.0;4°;Intera proprietà;1100;120.0;0.0;0.0;0;autonomo;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/72711708/
1552;Affitto;centro;65;2.0;3°;Intera proprietà;800;100.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/72585406/
1553;Affitto;centro;113;3.0;Ultimo;Intera proprietà;1500;133.0;0.0;1800.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/72547174/
1554;Affitto;centro;90;3.0;0;Intera proprietà;900;70.0;0.0;0.0;0;autonomo;0.0;0.0;0.0;0.0;autonomo;G ;https://www.immobiliare.it/annunci/72425546/
1555;Affitto;centro;50;2.0;2°;Intera proprietà;500;50.0;0.0;0.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/72421470/
1556;Affitto;centro;44;1.0;2°;Intera proprietà;600;100.0;0.0;1830.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;F ;https://www.immobiliare.it/annunci/72397438/
1557;Affitto;centro;70;3.0;Ultimo;Intera proprietà;600;90.0;0.0;1900.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/72350166/
1558;Affitto;centro;90;2.0;Seminterrato;Intera proprietà;500;30.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/72335563/
1559;Affitto;centro;60;2.0;0;Intera proprietà;600;90.0;0.0;1600.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/72309068/
1560;Affitto;centro;110;3.0;2°;Intera proprietà;2000;0.0;0.0;1700.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A3;https://www.immobiliare.it/annunci/72176488/
1561;Affitto;centro;50;2.0;1°;Intera proprietà;700;60.0;0.0;2006.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/72054026/
1562;Affitto;centro;330;5.0;1°;Intera proprietà;3800;300.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;C ;https://www.immobiliare.it/annunci/71869144/
1563;Affitto;centro;185;3.0;1°;Intera proprietà;4500;400.0;0.0;2013.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;None;A ;https://www.immobiliare.it/annunci/71621654/
1564;Affitto;centro;50;2.0;4°;Intera proprietà;720;0.0;0.0;1800.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/71583842/
1565;Affitto;centro;190;4.0;3°;Classe immobile signorile;Prezzo su richiesta;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/71168744/
1566;Affitto;centro;105;3.0;1°;Intera proprietà;750;150.0;0.0;1900.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/71047192/
1567;Affitto;centro;75;3.0;4°;Intera proprietà;890;90.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/70819266/
1568;Affitto;centro;75;3.0;1°;Intera proprietà;1100;80.0;0.0;1800.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A+;https://www.immobiliare.it/annunci/70689524/
1569;Affitto;centro;60;2.0;1°;Intera proprietà;1100;55.0;0.0;2007.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;C ;https://www.immobiliare.it/annunci/70567672/
1570;Affitto;centro;45;2.0;5°;Intera proprietà;580;70.0;0.0;1700.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/70583942/
1571;Affitto;centro;170;3.0;4°;Intera proprietà;1750;0.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;0;https://www.immobiliare.it/annunci/70559148/
