,Anno di costruzione,Aria Condizionata,Arredamento,Ascensore,Bagni,Balcone,Box,Cantina,Condizioni,Giardino,Locali,MQ Box,MQ Giardino,Metri quadri,Piano,Piscina,Portineria,Prezzo,Riscaldamento,Soffitta,Spese condominiali,Stato al rogito,Terrazzo,Distretto
97,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,1,0,0,25,4,0,0,€ 350 al mese,autonomo,0,0,libero,0,aurora
98,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,35,1,0,0,€ 250 al mese,autonomo,0,0,0,0,aurora
99,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,35,3,0,0,€ 310 al mese,autonomo,0,0,0,0,aurora
100,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,65,2,0,0,€ 650 al mese,centralizzato cont. ind.,0,0,0,0,aurora
101,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,85,5,0,0,€ 700 al mese,autonomo,0,0,0,0,aurora
102,0,0,0,0,1,0,0,0,0,0,1,0,0,26,0,0,0,€ 300 al mese,0,0,0,0,0,aurora
103,0,0,0,0,1,0,0,0,0,0,1,0,0,16,0,0,0,€ 230 al mese,0,0,0,0,0,aurora
104,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,55,2,0,0,€ 430 al mese,centralizzato,0,0,0,0,aurora
105,0,0,0,0,1,0,0,0,0,0,1,0,0,27,0,0,0,€ 350 al mese,0,0,0,0,0,aurora
106,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,25,4,0,0,€ 290 al mese,autonomo,0,0,0,0,aurora
107,0,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,1,0,0,20,2,0,0,€ 290 al mese,autonomo,0,0,libero,0,aurora
108,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,50,4,0,0,€ 470 al mese,autonomo,0,0,0,0,aurora
109,0,0,parzialmente arredato,Sì,1,Sì,0,0,0,0,2,0,0,50,0,0,0,€ 400 al mese,0,0,0,0,0,aurora
110,0,assente,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,2,0,0,65,2,0,0,€ 600 al mese,centralizzato cont. ind.,0,0,0,0,aurora
111,0,0,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,30,3,0,0,€ 340 al mese,autonomo,0,0,0,0,aurora
112,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,2,0,0,50,1,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
113,0,0,completamente arredato,Sì,1,Sì,0,0,abitabile,0,1,0,0,25,3,0,0,€ 330 al mese,autonomo,0,0,0,0,aurora
114,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,40,1,0,0,€ 350 al mese,centralizzato,0,0,0,0,aurora
115,0,0,completamente arredato,0,1,0,0,0,abitabile,0,1,0,0,30,5,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
116,0,0,completamente arredato,Sì,1,0,0,0,abitabile,0,1,0,0,30,3,0,0,€ 330 al mese,centralizzato,0,0,0,0,aurora
117,0,assente,completamente arredato,Sì,1,Sì,0,0,nuovo,0,2,0,0,42,3,0,0,€ 305 al mese,centralizzato cont. ind.,0,0,0,0,aurora
118,0,assente,completamente arredato,0,1,Sì,0,0,abitabile,0,2,0,0,50,3,0,0,€ 300 al mese,autonomo,0,0,0,0,aurora
119,0,assente,completamente arredato,Sì,1,Sì,0,0,abitabile,0,3,0,0,75,3,0,0,€ 500 al mese,centralizzato,0,0,0,0,aurora
120,0,0,0,0,1,0,0,0,0,0,1,0,0,50,0,0,0,€ 500 al mese,0,0,0,0,0,aurora
121,0,0,0,0,1,0,0,0,0,0,1,0,0,40,0,0,0,€ 400 al mese,0,0,0,0,0,aurora
122,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,25,3,0,0,€ 300 al mese,0,0,0,0,0,aurora
123,0,0,0,0,1,Sì,0,0,abitabile,0,2,0,0,54,4,0,0,€ 400 al mese,0,0,0,0,0,aurora
124,0,0,0,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,70,0,0,0,€ 450 al mese,autonomo,0,0,0,0,aurora
125,0,assente,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,75,3,0,0,€ 500 al mese,centralizzato cont. ind.,0,0,0,0,aurora
126,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,45,3,0,0,€ 275 al mese,centralizzato cont. ind.,0,0,0,0,aurora
127,0,assente,completamente arredato,0,1,0,0,0,ristrutturato,0,2,0,0,45,piano terra,0,0,€ 420 al mese,autonomo,0,0,0,0,aurora
128,0,assente,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,30,3,0,0,€ 280 al mese,autonomo,0,0,0,0,aurora
