;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
116;               Affitto, 4+4            ;centro;Intera proprietà;65;2;Piano;Intera proprietà;1400;80;;1800.0;nuovo/incostruzione;autonomo;None;               D              
117;               Affitto, 4+4            ;centro;Intera proprietà;90;4;5°;Intera proprietà;900;70;83.0;;buono/abitabile;centralizzato;None;               G              
118;               Affitto, 4+4            ;centro;Intera proprietà;50;2;2°;Intera proprietà;1500;1;0.0;1900.0;ottimo/ristrutturato;centralizzato;assente;
119;               Affitto, libero            ;centro;Intera proprietà;52;2;5°;Intera proprietà;1250;75;79.0;1850.0;nuovo/incostruzione;centralizzato;None;               A1, edificio energia quasi zero              
120;               Affitto, 4+4            ;centro;Intera proprietà;100;4;1°;Intera proprietà;790;140;76.0;1800.0;ottimo/ristrutturato;centralizzato;assente;               E              
121;               Affitto, 4+4            ;centro;Intera proprietà;70;2;Piano;Intera proprietà;1600;80;66.0;;nuovo/incostruzione;centralizzato;autonomo;               C              
122;               Affitto, libero            ;centro;Intera proprietà;65;2;1°;Intera proprietà;1000;;;2014.0;ottimo/ristrutturato;centralizzato;None;               A              
123;               Affitto, transitorio            ;centro;Intera proprietà;35;1;Piano;Intera proprietà;400;150;;1850.0;ottimo/ristrutturato;centralizzato;None;               G              
124;               Affitto, 4+4            ;centro;Intera proprietà;160;5;3°;Intera proprietà;1700;125;150.0;1900.0;ottimo/ristrutturato;centralizzato;None;
125;               Affitto, libero            ;centro;Intera proprietà;180;4;3°;Intera proprietà;1500;140;83.0;;;centralizzato;None;               G              
126;               Affitto            ;centro;Intera proprietà;25;1;Ultimo;Intera proprietà;275;18;;;buono/abitabile;autonomo;autonomo;               G              
127;               Affitto, libero            ;centro;Intera proprietà;30;1;3°;Intera proprietà;300;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
128;               Affitto            ;centro;Intera proprietà;200;5;2°;Intera proprietà;2200;300;300.0;1700.0;daristrutturare;centralizzato;autonomo;               D              
