;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
1399;               Affitto, libero            ;santa-rita;Intera proprietà;75;3;4°;Intera proprietà;550;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1400;               Affitto, 4+4            ;santa-rita;Intera proprietà;20;1;Piano;Intera proprietà;200;19;27.0;1940.0;buono/abitabile;centralizzato;None;               E              
1401;               Affitto            ;santa-rita;Intera proprietà;50;2;3°;Intera proprietà;650;;;;buono/abitabile;centralizzato;None;
1402;               Affitto            ;santa-rita;Intera proprietà;60;1;Con;Intera proprietà;520;50;;;;assente;None;
1403;               Affitto            ;santa-rita;Intera proprietà;60;;6°;Intera proprietà;450;50;;;buono/abitabile;centralizzato;None;               F              
1404;               Affitto, 4+4            ;santa-rita;Intera proprietà;50;2;3°;Intera proprietà;450;50;66.0;;;centralizzato;assente;
1405;               Affitto, concordato            ;santa-rita;Intera proprietà;75;4;2°;Intera proprietà;550;90;66.0;1968.0;buono/abitabile;centralizzato;assente;               D              
1406;               Affitto, 4+4            ;santa-rita;Intera proprietà;140;4;6°;Intera proprietà;780;110;41.0;1965.0;buono/abitabile;centralizzato;assente;               F              
1407;               Affitto, 4+4            ;santa-rita;Intera proprietà;80;3;4°;Intera proprietà;650;80;75.0;;ottimo/ristrutturato;centralizzato;None;               G              
1408;               Affitto, 3+2            ;santa-rita;Intera proprietà;115;4;1°;Intera proprietà;670;80;108.0;;buono/abitabile;centralizzato;None;               F              
1409;               Affitto, concordato            ;santa-rita;Intera proprietà;70;4;2°;Intera proprietà;500;75;75.0;;ottimo/ristrutturato;centralizzato;assente;               C              
1410;               Affitto, transitorio            ;santa-rita;Intera proprietà;90;2;1°;Intera proprietà;700;;;1970.0;ottimo/ristrutturato;;None;
1411;               Affitto, 3+2            ;santa-rita;Intera proprietà;65;2;6°;Intera proprietà;445;30;41.0;;;centralizzato;None;               D              
1412;               Affitto, 3+2            ;santa-rita;Intera proprietà;75;3;Ultimo;Intera proprietà;430;50;75.0;1960.0;buono/abitabile;centralizzato;None;               G              
1413;               Affitto            ;santa-rita;Intera proprietà;70;3;2°;Intera proprietà;470;50;;;buono/abitabile;centralizzato;assente;               E              
1414;               Affitto            ;santa-rita;Intera proprietà;90;3;Ultimo;Intera proprietà;285;;;;ottimo/ristrutturato;centralizzato;assente;
1415;               Affitto            ;santa-rita;Intera proprietà;100;3;Con;Intera proprietà;1000;100;;;ottimo/ristrutturato;autonomo;None;
1416;               Affitto, 4+4            ;santa-rita;Intera proprietà;135;5;7°;Intera proprietà;720;70;75.0;1950.0;buono/abitabile;centralizzato;None;               F              
1417;               Affitto, 4+4            ;santa-rita;Intera proprietà;45;2;;Intera proprietà;400;40;;;buono/abitabile;centralizzato;None;               F              
1418;               Affitto, libero            ;santa-rita;Intera proprietà;360;5;7°;Intera proprietà;4500;200;200.0;;ottimo/ristrutturato;centralizzato;autonomo;
1419;               Affitto, transitorio            ;santa-rita;Intera proprietà;60;2;5°;Intera proprietà;460;60;58.0;1967.0;buono/abitabile;centralizzato;None;               C              
1420;               Affitto, 4+4            ;santa-rita;Intera proprietà;88;4;8°;Intera proprietà;510;80;;1970.0;buono/abitabile;centralizzato;assente;               D              
1421;               Affitto, 4+4            ;santa-rita;Intera proprietà;115;4;8°;Intera proprietà;850;130;;;ottimo/ristrutturato;centralizzato;autonomo;               C              
1422;               Affitto, 3+2            ;santa-rita;Intera proprietà;63;2;Ultimo;Intera proprietà;460;70;75.0;1964.0;buono/abitabile;centralizzato;None;               E              
1423;               Affitto, 3+2            ;santa-rita;Intera proprietà;100;4;6°;Intera proprietà;650;80;;1972.0;buono/abitabile;centralizzato;None;               G              
1424;               Affitto, 4+4            ;santa-rita;Intera proprietà;110;4;3°;Intera proprietà;800;100;;1970.0;buono/abitabile;centralizzato;None;
1425;               Affitto, transitorio            ;santa-rita;Intera proprietà;100;4;6°;Parziale proprietà;400;50;33.0;1960.0;buono/abitabile;centralizzato;assente;               G              
1426;               Affitto            ;santa-rita;Intera proprietà;70;3;Piano;;400;;;;buono/abitabile;centralizzato;None;               E              
1427;               Affitto, studenti (6-36 mesi)            ;santa-rita;Intera proprietà;80;3;;Intera proprietà;270;40;45.0;;;;None;               E              
1428;               Affitto            ;santa-rita;Intera proprietà;100;4;5°;;1080;;;;ottimo/ristrutturato;centralizzato;None;               D              
1429;               Affitto, transitorio            ;santa-rita;Intera proprietà;80;3;1°;Intera proprietà;600;50;;;ottimo/ristrutturato;centralizzato;None;               D              
1430;               Affitto, 3+2            ;santa-rita;Intera proprietà;50;2;;Intera proprietà;280;40;;1956.0;;centralizzato;None;               F              
1431;               Affitto, 4+4            ;santa-rita;Intera proprietà;45;3;3°;Intera proprietà;490;80;;1935.0;buono/abitabile;autonomo;None;               D              
1432;               Affitto, transitorio            ;santa-rita;Intera proprietà;80;3;6°;Intera proprietà;550;;;;ottimo/ristrutturato;centralizzato;assente;
1433;               Affitto            ;santa-rita;Intera proprietà;65;2;3°;Intera proprietà;600;80;;;buono/abitabile;autonomo;None;               D              
1434;               Affitto, studenti (6-36 mesi)            ;santa-rita;Intera proprietà;81;3;5°;Intera proprietà;700;;;1959.0;buono/abitabile;centralizzato;assente;               F              
1435;               Affitto, 4+4            ;santa-rita;Intera proprietà;60;3;2°;Intera proprietà;300;;;1960.0;ottimo/ristrutturato;centralizzato;assente;               E              
1436;               Affitto, libero            ;santa-rita;Intera proprietà;40;1;1°;Intera proprietà;450;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1437;               Affitto, 4+4            ;santa-rita;Intera proprietà;65;3;Ultimo;Intera proprietà;420;70;10.0;1970.0;buono/abitabile;centralizzato;assente;               G              
1438;               Affitto, studenti (6-36 mesi)            ;santa-rita;Intera proprietà;70;3;4°;Intera proprietà;500;50;58.0;;buono/abitabile;centralizzato;None;               E              
1439;               Affitto, 4+4            ;santa-rita;Intera proprietà;58;2;Ultimo;Intera proprietà;380;60;10.0;1970.0;buono/abitabile;centralizzato;assente;               C              
1440;               Affitto            ;santa-rita;Intera proprietà;125;5;2°;Intera proprietà;1250;120;;1950.0;buono/abitabile;;None;               G              
1441;               Affitto, studenti (6-36 mesi)            ;santa-rita;Intera proprietà;65;3;1°;Intera proprietà;750;60;;2002.0;ottimo/ristrutturato;autonomo;None;               C              
1442;               Affitto, 3+2            ;santa-rita;Intera proprietà;140;5;Con;Intera proprietà;850;100;;1975.0;;centralizzato;assente;               D              
1443;               Affitto, 4+4            ;santa-rita;Intera proprietà;75;3;1°;Intera proprietà;550;40;50.0;1955.0;ottimo/ristrutturato;centralizzato;assente;               F              
1444;               Affitto, 3+2            ;santa-rita;Intera proprietà;50;2;Ultimo;Intera proprietà;410;55;65.0;1980.0;buono/abitabile;centralizzato;None;               E              
1445;               Affitto, 4+4            ;santa-rita;Intera proprietà;55;2;1°;Intera proprietà;450;125;;;buono/abitabile;centralizzato;None;               F              
1446;               Affitto            ;mirafiori-nord;Intera proprietà;90;4;1°;Intera proprietà;680;;;1983.0;ottimo/ristrutturato;centralizzato;assente;               D              
1447;               Affitto            ;mirafiori-nord;Intera proprietà;70;2;4°;Parziale proprietà;200;;;;buono/abitabile;centralizzato;None;               G              
1448;               Affitto, concordato            ;mirafiori-nord;Intera proprietà;40;2;2°;Intera proprietà;350;;;;ottimo/ristrutturato;;None;               Non classificabile              
1449;               Affitto, concordato            ;mirafiori-nord;Intera proprietà;90;3;3°;Intera proprietà;500;;;;ottimo/ristrutturato;;None;               Non classificabile              
1450;               Affitto, concordato            ;mirafiori-nord;Intera proprietà;125;5;6°;Intera proprietà;775;125;83.0;1970.0;ottimo/ristrutturato;centralizzato;assente;               D              
1451;               Affitto, libero            ;mirafiori-nord;Intera proprietà;50;2;1°;Intera proprietà;465;25;;1960.0;ottimo/ristrutturato;autonomo;None;               G              
1452;               Affitto, 3+2            ;mirafiori-nord;Intera proprietà;125;5;6°;Intera proprietà;775;125;83.0;;buono/abitabile;centralizzato;assente;               D              
1453;               Affitto, libero            ;mirafiori-nord;Intera proprietà;60;2;Piano;Intera proprietà;350;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1454;               Affitto, libero            ;mirafiori-nord;Intera proprietà;77;3;6°;Intera proprietà;550;;;;ottimo/ristrutturato;autonomo;None;               D              
1455;               Affitto, studenti (6-36 mesi)            ;mirafiori-nord;Intera proprietà;75;3;3°;Parziale proprietà;500;70;83.0;1970.0;ottimo/ristrutturato;centralizzato;None;               F              
1456;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;40;1;2°;Intera proprietà;430;30;;2006.0;ottimo/ristrutturato;autonomo;None;               C              
1457;               Affitto            ;mirafiori-nord;Intera proprietà;22;2;5°;;350;;;;ottimo/ristrutturato;centralizzato;None;               G              
1458;               Affitto            ;mirafiori-nord;Intera proprietà;60;2;2°;;430;80;;;buono/abitabile;centralizzato;None;
1459;               Affitto, 3+2            ;mirafiori-nord;Intera proprietà;92;3;3°;Intera proprietà;510;84;25.0;1970.0;buono/abitabile;centralizzato;assente;               F              
1460;               Affitto, 3+2            ;mirafiori-nord;Intera proprietà;80;3;Ultimo;Intera proprietà;460;60;79.0;1968.0;buono/abitabile;centralizzato;None;               F              
1461;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;55;2;2°;Intera proprietà;470;60;54.0;1970.0;buono/abitabile;centralizzato;None;
1462;               Affitto            ;mirafiori-nord;Intera proprietà;55;2;2°;Intera proprietà;450;70;33.0;1960.0;buono/abitabile;centralizzato;assente;               G              
1463;               Affitto, libero            ;mirafiori-nord;Intera proprietà;90;3;6°;Intera proprietà;550;;;1970.0;buono/abitabile;centralizzato;None;
1464;               Affitto, libero            ;mirafiori-nord;Intera proprietà;90;4;10°;Intera proprietà;750;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1465;               Affitto            ;mirafiori-nord;Intera proprietà;80;3;3°;Intera proprietà;300;;;1960.0;buono/abitabile;autonomo;assente;
1466;               Affitto, libero            ;mirafiori-nord;Intera proprietà;70;2;1°;Intera proprietà;480;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1467;               Affitto, studenti (6-36 mesi)            ;mirafiori-nord;Intera proprietà;169;5;4°;Intera proprietà;1000;180;108.0;1970.0;buono/abitabile;centralizzato;assente;               D              
1468;               Affitto, libero            ;mirafiori-nord;Intera proprietà;100;4;2°;Intera proprietà;800;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1469;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;58;2;2°;Intera proprietà;400;50;50.0;1970.0;buono/abitabile;centralizzato;assente;               E              
1470;               Affitto            ;mirafiori-nord;Intera proprietà;55;2;2°;Intera proprietà;470;55;;;centralizzato;"
                a2              ";None;750,00 kWh/m²a
1471;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;45;2;6°;Intera proprietà;700;35;50.0;2011.0;nuovo/incostruzione;centralizzato;assente;               B              
1472;               Affitto, 3+2            ;mirafiori-nord;Intera proprietà;60;2;3°;Intera proprietà;510;75;41.0;1970.0;ottimo/ristrutturato;centralizzato;None;               E              
1473;               Affitto            ;mirafiori-nord;Intera proprietà;50;2;1°;;900;;;;;centralizzato;None;
1474;               Affitto            ;mirafiori-nord;Intera proprietà;90;3;6°;Intera proprietà;600;;;;ottimo/ristrutturato;;None;
1475;               Affitto            ;mirafiori-nord;Intera proprietà;55;2;Piano;Intera proprietà;500;;;;ottimo/ristrutturato;centralizzato;None;
1476;               Affitto            ;mirafiori-nord;Intera proprietà;50;2;2°;Intera proprietà;357;40;50.0;1960.0;buono/abitabile;centralizzato;assente;               F              
1477;               Affitto            ;mirafiori-nord;Intera proprietà;50;2;1°;Intera proprietà;357;30;50.0;1960.0;buono/abitabile;centralizzato;assente;               F              
1478;               Affitto, transitorio            ;mirafiori-nord;Intera proprietà;70;3;Piano;Intera proprietà;700;;58.0;1950.0;buono/abitabile;centralizzato;assente;               F              
1479;               Affitto, transitorio            ;mirafiori-nord;Intera proprietà;55;2;Piano;Intera proprietà;610;;;1950.0;ottimo/ristrutturato;centralizzato;None;               E              
1480;               Affitto            ;mirafiori-nord;Intera proprietà;30;1;Piano;;280;35;;;centralizzato;"
                f              ";None;0
1481;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;50;2;Ultimo;Intera proprietà;600;70;50.0;1965.0;ottimo/ristrutturato;centralizzato;None;               E              
1482;               Affitto            ;mirafiori-nord;Intera proprietà;80;3;5°;;560;180;;;;;assente;
1483;               Affitto, studenti (6-36 mesi)            ;mirafiori-nord;Intera proprietà;60;3;Piano;Intera proprietà;550;50;50.0;1950.0;buono/abitabile;centralizzato;assente;               G              
1484;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;65;3;Ultimo;Intera proprietà;420;70;10.0;1970.0;buono/abitabile;centralizzato;assente;               G              
1485;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;58;2;Ultimo;Intera proprietà;380;60;10.0;1970.0;buono/abitabile;centralizzato;assente;               C              
1486;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;55;2;1°;Intera proprietà;450;125;;;buono/abitabile;centralizzato;None;               F              
1487;               Affitto            ;mirafiori-nord;Intera proprietà;70;2;4°;Intera proprietà;660;60;;;buono/abitabile;autonomo;None;               E              
1488;               Affitto            ;mirafiori-nord;Intera proprietà;80;3;3°;;660;90;66.0;;buono/abitabile;centralizzato;None;
1489;               Affitto            ;mirafiori-nord;Intera proprietà;50;2;1°;Intera proprietà;410;50;;1950.0;buono/abitabile;centralizzato;assente;               D              
1490;               Affitto            ;mirafiori-nord;Intera proprietà;65;2;4°;Intera proprietà;600;100;;;ottimo/ristrutturato;autonomo;None;               C              
1491;               Affitto, concordato            ;mirafiori-nord;Intera proprietà;60;2;1°;Intera proprietà;410;50;53.0;;buono/abitabile;centralizzato;assente;               D              
1492;               Affitto, studenti (6-36 mesi)            ;mirafiori-nord;Intera proprietà;130;4;1°;Intera proprietà;700;50;;1950.0;buono/abitabile;centralizzato;assente;
1493;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;80;2;Ultimo;Intera proprietà;850;90;91.0;1970.0;ottimo/ristrutturato;centralizzato;None;               E              
1494;               Affitto, transitorio            ;mirafiori-nord;Intera proprietà;68;3;1°;Intera proprietà;458;50;82.0;;buono/abitabile;centralizzato;None;               F              
1495;               Affitto, 4+4            ;mirafiori-nord;Intera proprietà;70;3;6°;Intera proprietà;550;70;66.0;1970.0;buono/abitabile;centralizzato;None;               G              
1496;               Affitto, concordato            ;campidoglio;Intera proprietà;70;3;3°;Intera proprietà;450;;;;buono/abitabile;;None;               Non classificabile              
1497;               Affitto, libero            ;campidoglio;Intera proprietà;50;2;2°;Intera proprietà;450;;;;ottimo/ristrutturato;;None;               Non classificabile              
1498;               Affitto            ;campidoglio;Intera proprietà;50;2;4°;Intera proprietà;499;35;;;ottimo/ristrutturato;centralizzato;None;               G              
1499;               Affitto, libero            ;campidoglio;Intera proprietà;490;2;3°;Intera proprietà;490;;;;ottimo/ristrutturato;centralizzato;None;               A+              
1500;               Affitto            ;campidoglio;Intera proprietà;40;1;2°;;380;;;;buono/abitabile;;None;               E              
1501;               Affitto, 4+4            ;campidoglio;Intera proprietà;50;2;Ultimo;Intera proprietà;400;50;0.0;1927.0;ottimo/ristrutturato;autonomo;assente;               C              
1502;               Affitto, concordato            ;campidoglio;Intera proprietà;100;4;5°;Intera proprietà;630;80;91.0;1950.0;buono/abitabile;centralizzato;assente;               D              
1503;               Affitto            ;campidoglio;Intera proprietà;100;3;5°;Classe immobile signorile;500;;;;ottimo/ristrutturato;centralizzato;None;               F              
1504;               Affitto            ;campidoglio;Intera proprietà;55;2;3°;Intera proprietà;550;60;;;ottimo/ristrutturato;centralizzato;None;               D              
1505;               Affitto, 4+4            ;campidoglio;Intera proprietà;66;3;3°;Intera proprietà;390;;;;ottimo/ristrutturato;autonomo;None;               D              
1506;               Affitto, transitorio            ;campidoglio;Intera proprietà;55;2;3°;Intera proprietà;550;60;41.0;1940.0;buono/abitabile;centralizzato;assente;               E              
1507;               Affitto, 4+4            ;campidoglio;Intera proprietà;50;2;3°;Intera proprietà;400;50;33.0;1960.0;buono/abitabile;centralizzato;assente;               F              
1508;               Affitto, 4+4            ;campidoglio;Intera proprietà;50;2;2°;Intera proprietà;400;33;;1920.0;buono/abitabile;autonomo;assente;
1509;               Affitto, libero            ;campidoglio;Intera proprietà;58;2;4°;Intera proprietà;490;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
1510;               Affitto            ;campidoglio;Intera proprietà;150;3;1°;Intera proprietà;1200;1.100;;;ottimo/ristrutturato;centralizzato;presente;
1511;               Affitto, transitorio            ;campidoglio;Intera proprietà;50;2;3°;Intera proprietà;450;60;41.0;;ottimo/ristrutturato;centralizzato;None;               D              
1512;               Affitto, 4+4            ;campidoglio;Intera proprietà;55;2;5°;Intera proprietà;550;50;50.0;;;centralizzato;None;               G              
1513;               Affitto            ;campidoglio;Intera proprietà;75;2;3°;Intera proprietà;750;100;;;ottimo/ristrutturato;centralizzato;None;               D              
1514;               Affitto, transitorio            ;campidoglio;Intera proprietà;45;2;2°;Intera proprietà;470;50;33.0;;ottimo/ristrutturato;centralizzato;assente;               G              
1515;               Affitto            ;campidoglio;Intera proprietà;40;2;2°;Intera proprietà;380;;;;;;None;               E              
1516;               Affitto, libero            ;campidoglio;Intera proprietà;75;3;1°;Intera proprietà;500;;;1980.0;ottimo/ristrutturato;autonomo;None;               B              
1517;               Affitto, studenti (6-36 mesi)            ;campidoglio;Intera proprietà;70;3;3°;Intera proprietà;900;150;;;ottimo/ristrutturato;centralizzato;None;
1518;               Affitto, 4+4            ;campidoglio;Intera proprietà;50;2;5°;Intera proprietà;450;50;66.0;1960.0;buono/abitabile;centralizzato;assente;               D              
1519;               Affitto            ;campidoglio;Intera proprietà;70;3;6°;Intera proprietà;600;83;50.0;1970.0;ottimo/ristrutturato;centralizzato;assente;               E              
1520;               Affitto            ;campidoglio;Intera proprietà;12;1;4°;Intera proprietà;400;;;1940.0;ottimo/ristrutturato;centralizzato;assente;
1521;               Affitto            ;san-donato;Intera proprietà;72;3;;Intera proprietà;650;;;;nuovo/incostruzione;autonomo;autonomo;               C              
1522;               Affitto, 4+4            ;san-donato;Intera proprietà;45;2;5°;Intera proprietà;490;40;;;nuovo/incostruzione;autonomo;None;               A+              
1523;               Affitto, libero            ;san-donato;Intera proprietà;75;3;1°;Intera proprietà;550;;;1950.0;ottimo/ristrutturato;centralizzato;None;               D              
1524;               Affitto            ;san-donato;Intera proprietà;70;3;1°;Intera proprietà;680;;;1966.0;ottimo/ristrutturato;centralizzato;assente;               D              
1525;               Affitto, concordato            ;san-donato;Intera proprietà;76;3;4°;Intera proprietà;440;50;0.0;1950.0;buono/abitabile;centralizzato;None;
1526;               Affitto, libero            ;san-donato;Intera proprietà;42;2;4°;Intera proprietà;450;;;1900.0;ottimo/ristrutturato;autonomo;assente;               G              
1527;               Affitto            ;san-donato;Intera proprietà;80;3;3°;Intera proprietà;430;70;56.0;1950.0;buono/abitabile;assente;assente;
1528;               Affitto, concordato            ;san-donato;Intera proprietà;100;4;5°;Intera proprietà;630;80;91.0;1950.0;buono/abitabile;centralizzato;None;               D              
1529;               Affitto, libero            ;san-donato;Intera proprietà;55;2;2°;Intera proprietà;620;45;45.0;1950.0;buono/abitabile;centralizzato;None;               E              
1530;               Affitto, 4+4            ;san-donato;Intera proprietà;30;1;4°;Intera proprietà;340;40;40.0;1960.0;buono/abitabile;centralizzato;assente;               C              
1531;               Affitto, 4+4            ;san-donato;Intera proprietà;85;4;3°;Intera proprietà;700;50;91.0;;ottimo/ristrutturato;centralizzato;assente;               D              
1532;               Affitto, 4+4            ;san-donato;Intera proprietà;65;3;5°;Intera proprietà;650;55;;;nuovo/incostruzione;autonomo;None;               B              
1533;               Affitto            ;san-donato;Intera proprietà;60;2;5°;Intera proprietà;500;60;;;ottimo/ristrutturato;centralizzato;None;               A3              
1534;               Affitto, 4+4            ;san-donato;Intera proprietà;45;1;3°;Intera proprietà;450;30;;1900.0;ottimo/ristrutturato;autonomo;None;               C              
1535;               Affitto, transitorio            ;san-donato;Intera proprietà;90;3;Su;Intera proprietà;1100;200;;1900.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
1536;               Affitto, 4+4            ;san-donato;Intera proprietà;124;4;Ammezzato;Intera proprietà;750;75;58.0;1960.0;buono/abitabile;centralizzato;None;
1537;               Affitto, libero            ;san-donato;Intera proprietà;38;2;1°;Intera proprietà;350;20;29.0;1930.0;ottimo/ristrutturato;autonomo;assente;               D              
1538;               Affitto, concordato            ;san-donato;Intera proprietà;71;2;5°;Intera proprietà;550;80;;1920.0;ottimo/ristrutturato;autonomo;autonomo;               D              
1539;               Affitto            ;san-donato;Intera proprietà;80;4;3°;Intera proprietà;750;50;;;buono/abitabile;centralizzato;None;               F              
1540;               Affitto            ;san-donato;Intera proprietà;45;1;1°;Intera proprietà;450;40;;1900.0;ottimo/ristrutturato;autonomo;assente;               C              
1541;               Affitto            ;san-donato;Intera proprietà;120;4;1°;Intera proprietà;660;70;116.0;1970.0;ottimo/ristrutturato;centralizzato;assente;
1542;               Affitto, 4+4            ;san-donato;Intera proprietà;100;4;3°;Intera proprietà;650;144;6.0;1960.0;buono/abitabile;centralizzato;None;               C              
1543;               Affitto            ;san-donato;Intera proprietà;65;2;3°;Intera proprietà;550;70;;1885.0;buono/abitabile;autonomo;None;               F              
1544;               Affitto, 4+4            ;san-donato;Intera proprietà;65;3;1°;Intera proprietà;550;50;;;ottimo/ristrutturato;autonomo;None;               E              
1545;               Affitto            ;san-donato;Intera proprietà;40;2;3°;Intera proprietà;495;25;41.0;;;centralizzato;None;               E              
1546;               Affitto, 3+2            ;san-donato;Intera proprietà;80;3;1°;Intera proprietà;450;55;66.0;1950.0;buono/abitabile;centralizzato;assente;               G              
1547;               Affitto, 4+4            ;san-donato;Intera proprietà;90;3;Piano;Intera proprietà;520;30;;;buono/abitabile;autonomo;None;               F              
1548;               Affitto            ;san-donato;Intera proprietà;40;2;1°;Classe immobile media;390;30;;;buono/abitabile;autonomo;None;               D              
1549;               Affitto            ;san-donato;Intera proprietà;80;3;1°;Intera proprietà;600;60;54.0;1950.0;buono/abitabile;centralizzato;None;
1550;               Affitto            ;san-donato;Intera proprietà;120;3;1°;Intera proprietà;630;70;90.0;1970.0;buono/abitabile;centralizzato;assente;               F              
1551;               Affitto, libero            ;san-donato;Intera proprietà;75;3;1°;Intera proprietà;500;;;1980.0;ottimo/ristrutturato;autonomo;None;               B              
1552;               Affitto, 4+4            ;san-donato;Intera proprietà;90;3;6°;Intera proprietà;750;54;;1920.0;nuovo/incostruzione;autonomo;autonomo;               B              
1553;               Affitto, libero            ;san-donato;Intera proprietà;70;3;2°;Intera proprietà;450;;;1980.0;ottimo/ristrutturato;autonomo;assente;               B              
1554;               Affitto, transitorio            ;san-donato;Intera proprietà;100;3;Piano;Intera proprietà;1300;125;;1900.0;ottimo/ristrutturato;autonomo;None;
1555;               Affitto, 4+4            ;san-donato;Intera proprietà;45;1;Piano;Intera proprietà;450;15;59.0;;ottimo/ristrutturato;autonomo;assente;               E              
1556;               Affitto, 4+4            ;san-donato;Intera proprietà;130;4;7°;Intera proprietà;1100;100;108.0;1960.0;ottimo/ristrutturato;centralizzato;assente;               E              
1557;               Affitto, libero            ;san-donato;Intera proprietà;50;2;1°;Intera proprietà;700;;;2010.0;ottimo/ristrutturato;centralizzato;assente;               C              
1559;               Affitto, transitorio            ;san-donato;Intera proprietà;70;2;2°;Intera proprietà;1100;135;;1900.0;ottimo/ristrutturato;autonomo;assente;
1560;               Affitto            ;san-donato;Intera proprietà;110;4;3°;Intera proprietà;750;75;;1960.0;buono/abitabile;centralizzato;None;               F              
1561;               Affitto, transitorio            ;san-donato;Intera proprietà;65;2;1°;Intera proprietà;1100;1.100;;1900.0;ottimo/ristrutturato;autonomo;autonomo;
1562;               Affitto, 4+4            ;san-donato;Intera proprietà;52;2;3°;Intera proprietà;530;80;;1890.0;buono/abitabile;autonomo;None;               G              
1563;               Affitto, transitorio            ;san-donato;Intera proprietà;45;1;3°;Intera proprietà;350;50;;;buono/abitabile;autonomo;None;               G              
1564;               Affitto            ;san-donato;Intera proprietà;45;2;Piano;Intera proprietà;450;40;30.0;1960.0;ottimo/ristrutturato;centralizzato;None;               E              
1565;               Affitto            ;san-donato;Intera proprietà;20;1;6°;Classe immobile signorile;400;50;;;ottimo/ristrutturato;autonomo;None;               E              
1566;               Affitto            ;san-donato;Intera proprietà;60;2;2°;Intera proprietà;1000;130;;1947.0;ottimo/ristrutturato;autonomo;assente;               F              
1567;               Affitto            ;san-donato;Intera proprietà;150;4;8°;Intera proprietà;1000;120;120.0;1970.0;buono/abitabile;centralizzato;autonomo;               F              
1568;               Affitto            ;san-donato;Intera proprietà;110;3;3°;Intera proprietà;700;50;;;buono/abitabile;centralizzato;None;
1569;               Affitto, libero            ;san-donato;Intera proprietà;60;2;1°;Intera proprietà;480;;;1950.0;ottimo/ristrutturato;autonomo;None;               C              
1570;               Affitto, libero            ;san-donato;Intera proprietà;120;3;2°;Intera proprietà;1100;130;;1970.0;ottimo/ristrutturato;centralizzato;centralizzato;               D              
1571;               Affitto, concordato            ;cit-turin;Intera proprietà;70;3;3°;Intera proprietà;450;;;;buono/abitabile;;None;               Non classificabile              
1572;               Affitto, libero            ;cit-turin;Intera proprietà;50;2;2°;Intera proprietà;450;;;;ottimo/ristrutturato;;None;               Non classificabile              
1573;               Affitto, libero            ;cit-turin;Intera proprietà;490;2;3°;Intera proprietà;490;;;;ottimo/ristrutturato;centralizzato;None;               A+              
1574;               Affitto, 4+4            ;cit-turin;Intera proprietà;110;4;6°;Intera proprietà;850;70;83.0;1950.0;buono/abitabile;centralizzato;assente;
1575;               Affitto            ;cit-turin;Intera proprietà;65;3;3°;Intera proprietà;700;60;;1990.0;ottimo/ristrutturato;autonomo;assente;               G              
1576;               Affitto            ;cit-turin;Intera proprietà;100;3;5°;Classe immobile signorile;500;;;;ottimo/ristrutturato;centralizzato;None;               F              
1577;               Affitto, transitorio            ;cit-turin;Intera proprietà;90;4;Piano;Parziale proprietà;420;30;1.0;1950.0;ottimo/ristrutturato;centralizzato;assente;               G              
1578;               Affitto, concordato            ;cit-turin;Intera proprietà;120;3;Piano;Intera proprietà;700;70;;1930.0;buono/abitabile;centralizzato;assente;               E              
1579;               Affitto, 4+4            ;cit-turin;Intera proprietà;66;3;3°;Intera proprietà;390;;;;ottimo/ristrutturato;autonomo;centralizzato;               D              
1580;               Affitto, 4+4            ;cit-turin;Intera proprietà;100;4;4°;Intera proprietà;930;90;91.0;;ottimo/ristrutturato;centralizzato;predisposizione impianto;               G              
1581;               Affitto, 4+4            ;cit-turin;Intera proprietà;35;1;2°;Intera proprietà;350;40;;1900.0;buono/abitabile;autonomo;None;               G              
1582;               Affitto, libero            ;cit-turin;Intera proprietà;58;2;4°;Intera proprietà;490;;;;ottimo/ristrutturato;autonomo;None;               D              
1583;               Affitto, 3+2            ;cit-turin;Intera proprietà;120;4;3°;Intera proprietà;850;90;;1930.0;buono/abitabile;centralizzato;None;               E              
1584;               Affitto, 4+4            ;cit-turin;Intera proprietà;45;3;Piano;Intera proprietà;500;29;66.0;;ottimo/ristrutturato;centralizzato;assente;               E              
1585;               Affitto            ;cit-turin;Intera proprietà;120;3;3°;;1000;110;;;ottimo/ristrutturato;centralizzato;None;
