,Price,Rooms,Surface,Bathrooms,Floor,Zona
565,6500,5,245,3,1,centro
566,4300,4,215,3,3,centro
567,900,2,55,1,1,centro
568,650,3,65,1,1,centro
569,1250,1,62,1,1,centro
570,630,2,60,1,A,centro
571,550,,31,1,3,centro
572,1200,2,75,1,3,centro
573,5500,5+,350,2,1,centro
574,2800,4,127,2,,centro
575,4500,5+,185,3,,centro
576,1400,3,90,2,1,centro
577,900,1,60,1,1,centro
578,690,2,45,1,1,centro
579,500,2,42,1,3,centro
580,4500,4,185,3,3,centro
581,600,2,60,1,5,centro
582,1600,5+,150,,3,centro
583,1100,3,75,2,4,centro
584,550,2,45,1,3,centro
585,550,1,50,1,5,centro
586,380,1,30,1,5,centro
587,420,1,25,1,A,centro
588,900,3,75,1,5,centro
589,1100,2,55,1,4,centro
590,3150,5+,440,3+,,centro
591,1300,3,100,2,6,centro
592,720,3,90,1,A,centro
593,1000,2,65,1,3,centro
594,1000,3,110,1,4,centro
595,350,1,25,1,2,centro
596,1400,3,85,1,A,centro
597,500,1,40,1,6,centro
598,600,2,50,1,3,centro
599,750,3,70,1,2,centro
0,1300,4,135,2,3,crocetta
1,630,3,70,1,6,crocetta
2,450,2,45,1,1,crocetta
3,560,3,77,1,4,crocetta
4,475,3,80,1,,crocetta
5,650,2,65,1,6,crocetta
6,550,3,85,1,4,crocetta
7,380,2,40,1,A,crocetta
8,650,3,75,1,2,crocetta
9,750,3,65,1,2,crocetta
10,900,3,95,1,R,crocetta
11,1150,5,130,1,R,crocetta
12,400,2,50,1,2,crocetta
13,1100,4,100,1,5,crocetta
14,480,2,48,1,2,crocetta
15,670,3,67,1,3,crocetta
16,800,3,75,2,R,crocetta
17,850,3,80,1,1,crocetta
18,850,2,50,1,3,crocetta
19,660,3,55,1,A,crocetta
20,430,1,55,1,1,crocetta
21,720,4,76,,,crocetta
22,600,3,80,1,,crocetta
23,1700,5+,280,3,7,crocetta
24,900,4,100,1,3,crocetta
25,400,1,30,1,5,crocetta
26,1200,3,115,2,A,crocetta
27,380,1,28,1,,crocetta
28,350,1,35,1,T,crocetta
29,400,1,40,1,4,crocetta
30,750,3,60,1,A,crocetta
31,800,4,90,1,A,crocetta
32,1300,5,135,2,R,crocetta
33,530,3,47,1,5,crocetta
34,590,3,80,1,3,crocetta
35,750,3,75,1,4,crocetta
36,550,2,40,1,1,crocetta
37,1300,5+,200,3,6,crocetta
38,1350,4,120,2,,crocetta
39,600,4,115,1,R,crocetta
40,1080,4,122,2,5,crocetta
41,900,3,98,1,5,crocetta
42,830,4,100,1,5,crocetta
43,750,4,110,1,3,crocetta
44,450,2,44,1,T,crocetta
45,750,3,72,1,1,crocetta
46,650,4,92,1,5,crocetta
47,600,3,70,,1,crocetta
48,800,3,80,1,,crocetta
49,500,3,65,1,1,crocetta
50,400,1,30,1,A,crocetta
51,450,2,45,1,R,crocetta
52,700,3,75,1,3,crocetta
53,900,2,78,1,R,crocetta
54,400,2,45,1,2,crocetta
55,750,3,85,2,3,crocetta
56,550,3,70,1,T,crocetta
57,1250,5+,140,2,2,crocetta
58,600,3,60,1,6,crocetta
59,500,2,47,1,4,crocetta
60,365,2,45,1,4,crocetta
61,595,3,75,1,3,crocetta
62,950,4,125,2,2,crocetta
63,900,5,130,2,2,crocetta
64,650,3,80,1,3,crocetta
65,500,3,66,1,3,crocetta
66,650,3,80,1,3,crocetta
67,1300,4,120,1,5,crocetta
68,2400,5+,212,2,2,crocetta
69,2000,5+,200,3,,crocetta
70,490,2,55,1,1,crocetta
71,400,2,40,1,8,crocetta
72,400,2,45,1,,crocetta
73,400,3,70,1,5,crocetta
74,500,3,50,1,A,crocetta
75,400,3,70,1,5,crocetta
76,500,3,50,1,A,crocetta
77,500,2,55,1,3,crocetta
78,600,2,55,1,A,crocetta
79,1080,4,110,2,2,crocetta
80,410,2,52,1,1,crocetta
81,1200,4,120,2,1,crocetta
82,1500,5,190,2,2,crocetta
83,550,2,50,1,1,crocetta
84,850,4,90,1,3,crocetta
85,400,1,38,1,R,crocetta
86,650,2,48,1,3,crocetta
87,750,2,65,1,7,crocetta
88,1200,2,70,1,1,crocetta
89,900,3,95,2,3,crocetta
90,600,2,55,,3,crocetta
91,1200,4,90,2,5,crocetta
92,1150,5,110,1,,crocetta
93,600,2,55,1,A,crocetta
94,500,2,45,1,,crocetta
95,595,3,70,2,3,crocetta
96,650,2,50,1,4,crocetta
97,1050,3,80,1,R,crocetta
98,420,1,30,1,4,crocetta
99,630,3,70,1,2,crocetta
100,1000,5+,155,2,2,crocetta
101,290,3,80,1,,crocetta
102,650,3,75,1,4,crocetta
103,260,4,120,2,,crocetta
104,630,2,65,1,5,crocetta
105,540,3,65,1,4,crocetta
106,800,4,105,2,4,crocetta
107,620,3,65,1,T,crocetta
108,550,2,70,,3,crocetta
109,,5+,210,3,2,crocetta
110,360,1,25,1,5,crocetta
111,580,3,70,2,3,crocetta
112,795,4,95,2,5,crocetta
113,1200,3,90,2,3,crocetta
114,795,4,90,2,5,crocetta
115,300,5,145,3,R,crocetta
116,570,,55,,1,crocetta
117,400,2,65,1,T,crocetta
118,900,5,134,2,A,crocetta
119,430,2,55,1,,crocetta
120,650,1,48,1,1,crocetta
121,1080,4,110,2,2,crocetta
122,850,2,50,1,3,crocetta
